惩,懲
怀,懷
褱,懷
嬾,懶
孄,懶
懜,懵
忏,懺
惧,懼
愳,懼
恋,戀
戍,戌
戉,戌
戊,戌
牫,戕
傶,戚
縬,戚
戞,戛
擮,截
勎,戮
战,戰
戦,戰
戯,戲
戱,戲
戏,戲
侢,戴
户,戶
戸,戶
戻,戾
鶣,扁
屝,扉
朾,打
掆,扛
拓,托
摷,抄
挗,抉
搹,扼
捈,抒
扸,折
斨,折
枊,抑
氶,承
拹,拉
摺,拉
拚,拌
挋,拒
抜,拔
扷,拔
抛,拋
籕,抽
抻,押
炪,拙
胟,拇
拞,抵
掋,抵
怉,抱
抅,拘
枸,拘
拕,拖
扡,拖
抝,拗
擡,抬
拝,拜
捙,拽
拲,拱
抍,拯
撜,拯
氶,拯
栝,括
拎,拾
搼,拳
拏,拿
挐,拿
搻,拿
挟,挾
抸,挾
祵,捆
揑,捏
掜,捏
梃,挺
輓,挽
剠,掠
卷,捲
棭,掖
撢,探
擑,接
椄,接
埽,掃
挂,掛
抆,捫
挣,掙
揈,掬
棑,排
搯,掏
搟,掀
捏,捻
挒,捩
舍,捨
挿,插
揷,插
挅,揣
撎,揖
担,揭
掲,揭
拮,揭
楥,援
敭,揚
撘,搭
捜,搜
扻,損
摤,搶
摇,搖
揺,搖
摿,搖
擣,搗
捯,搗
撆,撇
擿,摘
揊,撤
摹,摸
折,摺
爴,摑
敋,摑
擵,摩
攠,摩
摸,摹
扑,撲
擈,撲
撑,撐
樘,撐
籑,撰
熶,撮
譒,播
捬,撫
抚,撫
挡,擋
拠,據
据,據
択,擇
攂,擂
撡,操
捦,擒
扲,擒
担,擔
擏,擎
撃,擊
孹,擘
擗,擘
拟,擬
拡,擴
挄,擴
擿,擲
扰,擾
摆,擺
扳,攀
乑,攀
挕,攝
携,攜
擕,攜
儶,攜
擹,攤
挛,攣
爴,攫
撹,攪
捁,攪
擥,攬
収,收
敊,收
攺,改
効,效
傚,效
俲,效
捄,救
敎,教
斅,教
贁,敗
启,啟
啔,啟
唘,啟
啓,啟
諬,啟
闙,啟
勄,敏
叙,敘
敍,敘
憼,敬
毃,敲
摮,敲
歒,敵
敌,敵
旉,敷
数,數
愸,整
憗,整
歛,斂
彣,文
攵,文
辬,斑
奜,斐
升,斗
衺,斜
酙,斟
釿,斤
忻,斤
厈,斥
斱,斫
鐯,斫
断,斷
汸,方
扵,於
雱,旁
挔,旅
袿,旌
旍,旌
旑,旖
旣,既
囸,日
且,旦
旮,旭
旴,旭
晘,旱
暀,旺
昜,易
晜,昆
昻,昂
昴,昂
朙,明
眀,明
几,明
昬,昏
旾,春
萅,春
萶,春
炤,昭
佋,昭
暎,映
昛,昧
昰,是
曐,星
皨,星
垒,星
时,時
旹,時
晋,晉
曣,晏
晄,晃
爌,晃
熀,晃
愰,晃
曬,晒
昼,晝
晩,晚
旿,晤
曟,晨
暜,普
晳,晰
暒,晴
夝,晴
暻,景
晻,暗
睴,暉
睱,暇
煗,暖
煖,暖
燸,暖
畼,暢
曁,暨
臮,暨
莫,暮
蹔,暫
曓,暴
虣,暴
暦,曆
历,曆
暁,曉
暏,曙
瞹,曖
暴,曝
爔,曦
曵,曳
勖,勗
朁,替
会,會
朖,朗
朤,朗
誏,朗
朢,望
盳,望
朞,期
术,朮
楍,本
夲,本
絑,朱
朶,朵
朿,束
捒,束
扐,材
邨,村
檆,杉
煔,杉
抌,枕
柬,東
欛,杷
盃,杯
桮,杯
柸,杯
版,板
抂,枉
枀,松
梥,松
庺,松
柗,松
扸,析
柹,柿
枾,柿
厶,某
榢,架
栅,柵
匛,柩
匶,柩
柾,柩
抦,柄
棅,柄
柺,枴
櫾,柚
査,查
栢,柏
栁,柳
桺,柳
枊,柳
橮,柳
挍,校
亘,桓
拫,根
槕,桌
棹,桌
桒,桑
槡,桑
枽,桑
挌,格
樑,梁
榟,梓
杍,梓
閫,梱
棞,梱
挺,梃
弃,棄
弆,棄
甭,棄
楳,梅
槑,梅
坆,梅
栀,梔
樤,條
条,條
梸,梨
棃,梨
鴵,梟
栕,棺
椶,棕
艻,棘
枣,棗
椾,棧
碊,棧
捿,棲
栖,棲
棊,棋
櫀,棋
檱,棋
碁,棋
茮,椒
槌,椎
桘,椎
檰,棉
菐,業
椘,楚
揩,楷
柟,楠
极,極
槩,概
槪,概
杚,概
檝,楫
艥,楫
桯,楹
楡,榆
牓,榜
搒,榜
枀,榕
槀,槁
藁,槁
栄,榮
荣,榮
禜,榮
构,構
樼,榛
蓁,榛
橊,榴
鎗,槍
桘,槌
様,樣
样,樣
椁,槨
摳,樞
枢,樞
摽,標
橅,模
摸,模
楼,樓
棥,樊
楽,樂
枞,樅
罇,樽
檏,樸
朴,樸
擈,樸
樗,樺
檴,樺
横,橫
楕,橢
樣,橡
様,橡
槗,橋
墧,橋
鞽,橇
藮,樵
爑,樵
机,機
枟,檀
検,檢
扻,櫛
楖,櫛
梹,檳
柜,櫃
柠,檸
棹,櫂
橱,櫥
匵,櫝
樚,櫝
樐,櫓
権,權
杈,權
俽,欣
惞,欣
訢,欣
忻,欣
慾,欲
