A00317-001,,,凛,
A00317-003,,,澟,
A00317-017-1,,1,癛,
A00318,正,,凝,
A00319,正,5,几,
A00319-002,,1,机,
A00320,正,,凰,
A00321,正,,凱,
A00322,正,,凳,
A00322-001,,,櫈,
A00322-001-1,,1,橙,
A00323,正,,凶,
A00323-005,,1,兇,
A00324,正,,凹,
A00325,正,2,出,
A00325-001,,,岀,
A00326,正,,凸,
A00327,正,,函,
A00327-001,,,凾,
A00327-003,,,圅,
A00328,正,2,刀,
A00328-003,,,釖,
A00328-004,,1,刁,
A00329,正,2,刁,
A00329-001,,1,刀,
A00330,正,,刃,
A00330-002,,1,刄,
A00331,正,,分,
A00332,正,,切,
A00333,正,2,刈,
A00333-005,,1,艾,
A00334,正,,刊,
A00334-001,,,刋,
A00334-002,,1,栞,
A00335,正,,列,
A00336,正,,刑,
A00337,正,4,划,
A00337-001,,1,找,
A00338,正,,刎,
A00339,正,,別,
A00339-002,,1,别,
A00340,正,,判,
A00340-007,,1,牉,
A00341,正,,利,
A00342,正,,刪,
A00342-001,,,删,
A00343,正,,刨,
A00344,正,,刻,
A00345,正,,券,
A00345-001,,2,劵,
A00347,正,,刺,
A00347-003,,1,剌,
A00347-018-1,,1,捇,
A00348,正,,到,
A00349,正,2,刮,
A00349-002,,1,劀,
A00350,正,2,制,
A00350-007,,1,剬,
A00351,正,,剁,
A00351-001,,,刴,
A00352,正,,剎,
A00352-002,,,刹,
A00353,正,,剃,
A00353-001,,,鬀,
A00354,正,,削,
A00355,正,,前,
A00355-003,,,歬,
A00356,正,2,剌,
A00357,正,2,剋,
A00357-001,,1,勊,
A00357-003,,,尅,
A00357-006,,1,勀,
A00358,正,,則,
A00359,正,,剖,
A00360,正,,剜,
A00360-012-1,,1,鋺,
A00361,正,,剔,
A00361-003,,,掦,
A00362,正,,剛,
A00362-006,,1,鎠,
A00363,正,,剝,
A00363-001,,,剥,
A00363-009,,1,忉,
A00364,正,,剪,
A00364-009-4,,1,翦,
A00365,正,,副,
A00365-003,,,疈,
A00366,正,,割,
A00367,正,,剴,
A00368,正,2,創,
A00368-003,,1,剏,
A00368-004,,1,剙,
A00368-007,,1,刅,
A00368-008,,1,刱,
A00368-010,,1,瘡,
A00368-011,,1,戧,
A00369,正,,剩,
A00369-001,,,剰,
A00369-003,,1,賸,
A00370,正,2,剿,
A00370-006,,,剿,
A00370-007,,1,劋,
A00371,正,,剷,
A00371-001,,,剗,
A00372,正,,剽,
A00372-002,,,勡,
A00373,正,,劃,
A00373-004,,1,劐,
A00373-009,,1,划,
A00374,正,,劇,
A00374-001,,,剧,
A00375,正,,劈,
A00376,正,,劉,
A00376-001,,,刘,
A00376-007-1,,1,鎦,
A00376-054,,2,鐂,
A00377,正,,劍,
A00377-001,,,剣,
A00377-002,,,劎,
A00377-003,,,劒,
A00377-004,,,劔,
A00377-019,,1,釰,
A00378,正,,劑,
A00378-001,,,剤,
A00378-008,,1,鑇,
A00379,正,,力,
A00380,正,,加,
A00381,正,,功,
A00381-002,,1,糿,
A00381-003,,1,糼,
A00382,正,,劣,
A00383,正,,劫,
A00383-002,,,刧,
A00383-003,,,刦,
A00383-005,,,刼,
A00384,正,,助,
A00385,正,,努,
A00385-001,,,伮,
A00386,正,,劬,
A00387,正,,劾,
A00388,正,,勇,
A00388-001,,,勈,
A00388-007,,1,恿,
A00389,正,,勉,
A00389-002,,1,勔,
A00390,正,,勃,
A00391,正,,勁,
A00392,正,,勒,
A00393,正,,務,
A00394,正,,勘,
A00395,正,,動,
A00395-001,,,働,
A00395-002,,,动,
A00395-004,,1,勭,
A00396,正,,勞,
A00396-001,,,労,
A00396-002,,,劳,
A00396-007,,1,僗,
A00396-023-4,,1,憥,
A00397,正,,勝,
A00398,正,,勛,
A00398-001,,,勲,
A00398-002,,,勳,
A00399,正,,募,
A00400,正,,勦,
A00401,正,,勤,
A00402,正,,勢,
A00402-001,,,势,
A00402-004,,1,埶,
A00403,正,,勵,
A00403-001,,,励,
A00404,正,,勸,
A00404-001,,,劝,
A00404-002,,1,勌,
A00404-003,,,勧,
A00405,正,,勻,
A00405-001,,,匀,
A00406,正,2,勾,
A00407,正,,勿,
A00408,正,,包,
A00408-003,,1,勹,
A00409,正,,匆,
A00409-001,,,匇,
A00409-003,,,忩,
A00409-004,,,怱,
A00409-005,,,悤,
A00410,正,2,匈,
A00410-009,,2,匃,
A00411,正,,匍,
A00412,正,,匐,
A00413,正,,匏,
A00413-002,,1,瓟,
A00414,正,,匕,
A00415,正,,化,
A00416,正,,北,
A00417,正,,匙,
A00417-006,,1,鍉,
A00418,正,,匝,
A00418-001,,,帀,
A00418-002,,1,迊,
A00419,正,2,匡,
A00419-001,,,匩,
A00420,正,,匠,
A00420-001,,,匞,
A00421,正,,匣,
A00421-005,,1,筪,
A00422,正,,匪,
A00422-003,,1,篚,
A00423,正,,匯,
A00423-001,,,滙,
A00424,正,,匱,
A00424-002,,,鑎,
A00424-003,,1,鐀,
A00424-004-1,,1,櫃,
A00425,正,,匹,
A00425-012,,1,疋,
A00426,正,,匿,
A00427,正,,區,
A00427-003,,1,塸,
A00427-004,,,区,
A00428,正,,匾,
A00429,正,,十,
A00429-001,,1,拾,
A00430,正,2,千,
A00430-001,,1,仟,
A00431,正,,午,
A00432,正,2,升,
A00433,正,,卅,
A00434,正,2,仟,
A00435,正,,半,
A00436,正,,卉,
A00437,正,,卒,
A00437-001,,,卆,
A00438,正,,協,
A00438-001,,,协,
A00438-003,,1,叶,
A00438-004,,1,恊,
A00438-005,,,旪,
A00439,正,,卓,
A00439-007,,1,桌,
A00440,正,,卑,
A00441,正,,南,
A00442,正,,博,
A00442-002,,,愽,
A00443,正,,卜,
A00444,正,3,卞,
A00445,正,2,卡,
A00446,正,,占,
A00447,正,,卦,
A00448,正,,卯,
A00448-001,,,戼,
A00448-007,,1,卬,
A00448-009,,2,夘,
A00448-010,,2,丣,
A00449,正,,卮,
A00449-002,,,巵,
A00450,正,,印,
A00450-002,,1,币,
A00451,正,,危,
A00451-019,,1,厃,
A00452,正,,即,
A00452-001,,,卽,
A00452-002,,,皍,
A00453,正,,卵,
A00453-002-1,,1,卝,
A00454,正,2,卷,
A00454-016,,,巻,
A00455,正,,卸,
A00455-001,,,缷,
A00456,正,,卹,
A00456-002,,,賉,
A00457,正,,卻,
A00457-001,,,却,
A00457-007,,1,郤,
A00458,正,,卿,
A00459,正,,厄,
A00459-006,,2,戹,
A00460,正,,厚,
A00460-008,,1,垕,
A00461,正,,原,
A00461-002,,1,厡,
A00461-007,,2,亰,
A00462,正,,厝,
A00463,正,,厥,
A00463-006,,1,氒,
A00464,正,2,厭,
A00464-002,,,懕,
A00465,正,,厲,
A00465-001,,,厉,
A00466,正,2,去,
A00466-001,,,厺,
A00466-011,,1,弆,
A00467,正,2,參,
A00467-001,,1,叁,
A00467-002,,,参,
A00467-004,,1,叅,
A00467-007,,,曑,
A00467-011,,1,喿,
A00467-036,,2,叄,
A00468,正,,又,
A00468-001,,1,叹,
A00469,正,,叉,
A00469-002,,2,义,
A00470,正,,友,
A00470-007,,1,犮,
A00471,正,,及,
A00471-020,,1,乁,
A00472,正,,反,
A00472-001,,1,仮,
A00473,正,,取,
A00473-002,,1,耴,
A00474,正,2,叔,
A00475,正,,受,
A00476,正,,叛,
A00476-001,,,炍,
A00477,正,,叟,
A00477-003,,,傁,
A00477-006,,,叜,
A00478,正,,曼,
A00478-008,,2,昘,
A00479,正,,叢,
A00479-001,,,樷,
A00479-004-1,,1,菆,
A00479-034,,1,欉,
A00480,正,,口,
A00481,正,,可,
A00482,正,,古,
A00483,正,,右,
A00483-003,,2,厷,
A00484,正,,召,
A00485,正,,叮,
A00486,正,,叩,
A00486-002,,,敂,
A00487,正,,叨,
A00488,正,,叼,
A00489,正,,司,
A00490,正,,叵,
A00491,正,,叫,
A00491-004,,,呌,
A00491-007,,,訆,
A00491-008,,1,嘂,
A00491-009,,1,噭,
A00491-011,,1,嘄,
A00491-012,,1,哯,
A00491-022,,1,叽,
A00492,正,2,另,
A00493,正,3,只,
A00494,正,,史,
A00495,正,3,叱,
A00496,正,4,台,
A00497,正,,句,
A00497-002,,1,勾,
A00498,正,,叭,
A00499,正,,吉,
A00500,正,,吏,
A00500-001,,2,叓,
A00501,正,,同,
A00501-001,,2,仝,
A00501-002,,2,冈,
A00502,正,2,吊,
A00502-002-1,,1,弔,
A00503,正,,吐,
A00504,正,2,吁,
A00505,正,,吋,
A00506,正,,各,
A00507,正,2,向,
A00508,正,,名,
A00509,正,2,合,
A00510,正,,吃,
A00511,正,2,后,
A00512,正,,吆,
A00513,正,,吒,
A00513-001,,1,咤,
A00513-002,,1,喥,
A00514,正,,吝,
A00514-007,,,恡,
A00514-008,,,悋,
A00515,正,,吭,
A00515-001,,1,頏,
A00516,正,,吞,
A00516-001,,,呑,
A00516-003,,2,吴,
A00517,正,,吾,
A00518,正,,否,
A00518-004-1,,1,吥,
A00518-006,附,3,还,
A00519,正,,呎,
A00520,正,,吧,
A00521,正,2,呆,
A00522,正,,呃,
A00522-001,,,呝,
A00523,正,,吳,
A00523-002,,1,吴,
A00523-003,,,呉,
A00524,正,,呈,
A00525,正,,呂,
A00525-001,,,吕,
A00525-002,,1,膂,
A00526,正,,君,
A00527,正,2,吩,
A00528,正,,告,
A00528-001,,,吿,
A00529,正,,吹,
A00529-002,,1,龡,
A00530,正,,吻,
A00530-003-1,,,脗,
A00530-006,,1,呡,
A00530-007,,1,呅,
A00531,正,,吸,
A00531-002,,1,噏,
A00532,正,,吮,
A00533,正,,吵,
A00534,正,,吶,
A00534-002,,1,呐,
A00535,正,,吠,
A00536,正,,吼,
A00536-002,,1,呴,
A00536-003,,1,吽,
A00537,正,,呀,
A00538,正,2,吱,
A00539,正,,含,
A00540,正,,吟,
A00540-002-1,,,噖,
A00540-003-1,,,訡,
A00541,正,,味,
A00542,正,,呵,
A00542-004,,1,哬,
A00543,正,,咖,
A00544,正,,呸,
A00544-001,,1,啡,
A00545,正,,咕,
A00546,正,2,咀,
A00547,正,,呻,
A00548,正,,呷,
A00549,正,,咄,
A00549-001,,,嚉,
A00550,正,2,咒,
A00550-001,,,呪,
A00550-002,,,詋,
A00550-007,,1,詶,
A00551,正,,咆,
A00552,正,,呼,
A00552-018,,1,歑,
A00552-019,,2,虖,
A00553,正,,咐,
A00554,正,,呱,
A00554-002,,,哌,
A00555,正,,呶,
